level,species,z,theta
resources,1,3.4198782949615785,2.889848552706187
resources,2,4.733161698698961,5.4769589092322075
resources,3,7.1189255598127135,8.11800867088725
resources,4,3.867977290312424,3.0686125207888915
resources,5,6.801898994383683,8.900496584766927
resources,6,3.5829762930808644,3.8572522858022795
resources,7,6.123236696086307,7.824645640731718
resources,8,1.8196775616922114,0.6795157162499721
resources,9,5.368973583014459,6.230009087208767
resources,10,3.6937209977813295,0.32004032243039493
consumers,1,5.109456306595719,4.797263309850049
consumers,2,3.7338695121585315,2.545882432265707
consumers,3,4.045053596100484,2.7835279059472318
consumers,4,2.902928665865301,1.180594427231243
consumers,5,5.656553913006063,5.327700980742678
consumers,6,3.40792796488984,3.421756945772303
consumers,7,5.258277813868719,4.434610572999644
consumers,8,4.409567762378982,4.7745752836763415
consumers,9,6.2550591050882955,5.876740278742609
consumers,10,2.7998560672049426,0.21504185501154627
consumers,11,7.470937014672295,8.779031827848074
consumers,12,3.069060665627745,1.7049572274973324
consumers,13,1.7658288206544783,0.3253315534473389
consumers,14,5.005375349518283,8.436517429035282
consumers,15,3.074017961372264,1.345516077102793
consumers,16,5.2092189499487205,6.313646389324729
consumers,17,6.012164883405243,9.1336159105653
consumers,18,7.272435081734245,7.600506751486231
consumers,19,4.491626000755871,3.9298144485026554
consumers,20,4.8703876672149695,8.43946748606716
consumers,21,5.185310032716718,4.742287233411919
consumers,22,6.20003830171621,8.15435410116109
consumers,23,5.658103783551644,2.028677056927035
consumers,24,4.251015242947606,5.758741304209744
consumers,25,4.1416184273309735,5.844161977288717
consumers,26,4.120375846177489,2.6451739505377625
consumers,27,3.1051896247108743,1.379276838366743
consumers,28,3.1972303789749663,2.674670319009942
consumers,29,5.1050747829734355,8.342119336139195
consumers,30,2.7362118880985937,0.044280937606164805
consumers,31,3.2989718621085067,2.627838581822175
consumers,32,7.117028183539734,7.112362490566073
consumers,33,2.9156610332132242,1.6849413424104465
consumers,34,4.161168166907661,6.005814075341805
consumers,35,3.1446188988307333,2.113939739330435
consumers,36,7.808368271452072,9.42970545109878
consumers,37,1.9345506557853847,2.2153583130817034
consumers,38,6.411843839486274,5.497517946379878
consumers,39,4.7560265832045,6.79263826045238
consumers,40,3.5324746772824667,3.410902177106887
